auc,precision,recall,f1,tn,fp,fn,tp,flagged_points,flagged_rate_%,n_eval,hybrid,configuration,thresholds,q_MP,q_Z,q_LOF,q_IF
0.6312789469938084,0.3241830065359477,0.3415977961432507,0.33266264252179745,6024,517,478,248,765,10.527040044034678,7267,MP OR Z OR IF,MP@p99 OR Z@p98 OR IF@p92,"{'MP': 2.2699698509656385, 'Z': 2.724585907467929, 'IF': 0.5192546708495505}",99,98.0,,92.0
0.6232342254808934,0.3596774193548387,0.3071625344352617,0.3313521545319465,6144,397,503,223,620,8.531718728498692,7267,MP OR Z OR IF,MP@p99 OR Z@p97 OR IF@p95,"{'MP': 2.2699698509656385, 'Z': 2.5133716943799493, 'IF': 0.5521145861141614}",99,97.0,,95.0
0.6230049027473664,0.3579454253611557,0.3071625344352617,0.3306152705707932,6141,400,503,223,623,8.5730012384753,7267,MP OR Z OR IF,MP@p98 OR Z@p98 OR IF@p95,"{'MP': 2.1902390667101694, 'Z': 2.724585907467929, 'IF': 0.5521145861141614}",98,98.0,,95.0
0.6292892722025049,0.3219448094612352,0.33746556473829203,0.32952252858103565,6025,516,481,245,761,10.471996697399202,7267,MP OR Z OR IF,MP@p95 OR Z@p99 OR IF@p95,"{'MP': 2.0441557230389535, 'Z': 3.0736821262882095, 'IF': 0.5521145861141614}",95,99.0,,95.0
0.619634132319849,0.37566137566137564,0.29338842975206614,0.3294663573085847,6187,354,513,213,567,7.802394385578643,7267,MP OR IF,MP@p97 OR IF@p95,"{'MP': 2.1274994965344325, 'IF': 0.5521145861141614}",97,,,95.0
0.6267608258650773,0.3319327731092437,0.32644628099173556,0.32916666666666666,6064,477,489,237,714,9.825237374432366,7267,MP OR IF,MP@p98 OR IF@p92,"{'MP': 2.1902390667101694, 'IF': 0.5192546708495505}",98,,,92.0
0.6354979377800464,0.2945054945054945,0.3691460055096419,0.3276283618581907,5899,642,458,268,910,12.522361359570661,7267,MP OR Z OR IF,MP@p98 OR Z@p99 OR IF@p90,"{'MP': 2.1902390667101694, 'Z': 3.0736821262882095, 'IF': 0.5088267634912716}",98,99.0,,90.0
0.6292914833032413,0.31352718078381797,0.3415977961432507,0.3269611074489123,5998,543,478,248,791,10.884821797165268,7267,MP OR IF,MP@p99 OR IF@p90,"{'MP': 2.2699698509656385, 'IF': 0.5088267634912716}",99,,,90.0
0.6241574126836319,0.33575581395348836,0.3181818181818182,0.32673267326732675,6084,457,495,231,688,9.467455621301776,7267,MP OR Z OR IF,MP@p97 OR Z@p98 OR IF@p95,"{'MP': 2.1274994965344325, 'Z': 2.724585907467929, 'IF': 0.5521145861141614}",97,98.0,,95.0
0.6306711048722975,0.30741190765492105,0.3484848484848485,0.32666236281471916,5971,570,473,253,823,11.32516857024907,7267,MP OR Z OR IF,MP@p99 OR Z@p97 OR IF@p92,"{'MP': 2.2699698509656385, 'Z': 2.5133716943799493, 'IF': 0.5192546708495505}",99,97.0,,92.0
0.6307482828170519,0.30528846153846156,0.349862258953168,0.32605905006418484,5963,578,472,254,832,11.449016100178891,7267,MP OR Z OR IF,MP@p98 OR Z@p98 OR IF@p92,"{'MP': 2.1902390667101694, 'Z': 2.724585907467929, 'IF': 0.5192546708495505}",98,98.0,,92.0
0.6279897767125185,0.3149100257069409,0.33746556473829203,0.3257978723404255,6008,533,481,245,778,10.705930920599972,7267,MP OR IF,MP@p97 OR IF@p92,"{'MP': 2.1274994965344325, 'IF': 0.5192546708495505}",97,,,92.0
0.636266769093276,0.28541666666666665,0.3774104683195592,0.3250296559905101,5855,686,452,274,960,13.210403192514105,7267,MP OR Z OR IF,MP@p95 OR Z@p99 OR IF@p92,"{'MP': 2.0441557230389535, 'Z': 3.0736821262882095, 'IF': 0.5192546708495505}",95,99.0,,92.0
0.6368033295386634,0.28365878725590954,0.38016528925619836,0.32489699823425544,5844,697,450,276,973,13.3892940690794,7267,MP OR Z OR IF,MP@p97 OR Z@p99 OR IF@p90,"{'MP': 2.1274994965344325, 'Z': 3.0736821262882095, 'IF': 0.5088267634912716}",97,99.0,,90.0
0.6334318220775672,0.2921719955898567,0.3650137741046832,0.32455603184323334,5899,642,461,265,907,12.481078849594056,7267,MP OR Z OR IF,MP@p99 OR Z@p98 OR IF@p90,"{'MP': 2.2699698509656385, 'Z': 2.724585907467929, 'IF': 0.5088267634912716}",99,98.0,,90.0
0.6141972461898524,0.3937007874015748,0.27548209366391185,0.3241491085899514,6233,308,526,200,508,6.99050502270538,7267,MP OR LOF OR IF,MP@p99 OR LOF@p99 OR IF@p95,"{'MP': 2.2699698509656385, 'LOF': 4.376959565620132, 'IF': 0.5521145861141614}",99,,99.0,95.0
0.6227035613041367,0.3333333333333333,0.3154269972451791,0.32413305024769995,6083,458,497,229,687,9.453694784642906,7267,MP OR Z OR IF,MP@p98 OR Z@p97 OR IF@p95,"{'MP': 2.1902390667101694, 'Z': 2.5133716943799493, 'IF': 0.5521145861141614}",98,97.0,,95.0
0.631977233664493,0.2924107142857143,0.3608815426997245,0.32305795314426633,5907,634,464,262,896,12.329709646346497,7267,MP OR Z OR IF,MP@p97 OR Z@p98 OR IF@p92,"{'MP': 2.1274994965344325, 'Z': 2.724585907467929, 'IF': 0.5192546708495505}",97,98.0,,92.0
